date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
3/15/2020 23:56,uche798,kurteichenwald,0,0,0,Agreed! It’s a meaningless debate & a waist of time at a critical juncture of this nation when we’re very anxious about a deadly coronavirus that’s ravaging our country! Where is the sense of priority?That’s why I won’t be watching since no one has the common sense to cancel it! https://twitter.com/kurteichenwald/status/1239272557385310208 …,,,,1.23934E+18,https://twitter.com/uche798/status/1239339751817326592
8/8/2020 15:30,VOANoticias,,0,2,9,"Betty Gabriela Rodríguez tiene como causa buscar oportunidades de desarrollo con equidad. Betty, una joven venezolana radicada en Washington DC., es la creadora de Amazona Foundation, organización enfocada en la labor social. #Venezuela360 https://bit.ly/2EZDu8B #VOANoticiaspic.twitter.com/b86Ej8yEbF",,,#Venezuela360 #VOANoticiaspic,1.29212E+18,https://twitter.com/VOANoticias/status/1292120885613039621
3/15/2020 23:48,jstathought917,PreetBharara,0,0,0,Strange ... angry/irritated + curious&trying to self comfort w/long term optimism + anxious for the good/evil fight we seem to be witnessing &part of individually &collectively.,,,,1.23934E+18,https://twitter.com/jstathought917/status/1239337800555581440
3/15/2020 23:47,Dani_Marie1488,,0,0,2,tested positive for being an anxious thicc bitch.,,,,1.23934E+18,https://twitter.com/Dani_Marie1488/status/1239337465250447362
3/15/2020 23:45,Nelanne,PreetBharara,0,0,0,I'm anxious and really bummed. The political division is now deadly.,,,,1.23934E+18,https://twitter.com/Nelanne/status/1239336954946359302
3/15/2020 23:44,AE_Hayes,savascha,1,0,1,"I understand that, too. “My house, so anything you THINK you own is mine” (even if I bought it). I’m 38 and still feel anxious about gifts she gives me - like she’ll come take them back (especially if it’s money). It’s disappointing for certain.",,,,1.23934E+18,https://twitter.com/AE_Hayes/status/1239336794199658497
3/15/2020 23:44,kaicee118,PreetBharara,0,0,0,Anxious and exhausted.,,,,1.23934E+18,https://twitter.com/kaicee118/status/1239336596962521095
3/15/2020 23:44,Wendilynn66,PreetBharara,0,0,2,Scared Anxious Angry.,,,,1.23934E+18,https://twitter.com/Wendilynn66/status/1239336586313003008
3/15/2020 23:42,DKinnard,PreetBharara,1,1,129,"Anxious, angry and depressed.",,,,1.23934E+18,https://twitter.com/DKinnard/status/1239336139405869056
3/15/2020 23:38,gasparsbest,,0,0,0,Who’s ready to work towards their goals this week!? Let’s see your hands ⁣ ⁣ Feeling anxious or discouraged because of COVID-19? That can happen during times of uncertainty but try your best to stay on top of your goals! You got this ⁣ pic.twitter.com/YvBqiwmKnX,,,,1.23934E+18,https://twitter.com/gasparsbest/status/1239335203488792578
3/15/2020 23:37,Wickie1912,Roseymelhill,0,0,1,I rarely get anxious about much but I am anxious about this! Plus I’m in the at risk group age-wise. Hang in there-we can do this!,,,,1.23933E+18,https://twitter.com/Wickie1912/status/1239334923619745795
3/15/2020 23:36,RaiseVibesToday,,0,0,0,Hello my beautiful friends! Feeling a little anxious? Join me tomorrow at 12pm EST and 12:30pm EST for a LIVE intuitively guided meditation to reduce anxiety and increase the immune system. Where The… https://www.instagram.com/p/B9xeCIMJG24/?igshid=3jjlq83fwjvc …,,,,1.23933E+18,https://twitter.com/RaiseVibesToday/status/1239334708137340930
3/15/2020 23:31,SpoonieSwift91,,1,0,0,"In no way am I saying forget about it lets do it regardless, it’s just hard to want to keep hanging on the planet with nothing to look forward to especially when you’re a #highriskcovid19 & anxious for your life. Hopefully @KelseaBallerini will do a belated #kelseareleaseweek+",,@KelseaBallerini,#highriskcovid19 #kelseareleaseweek,1.23933E+18,https://twitter.com/SpoonieSwift91/status/1239333512051916802
3/15/2020 23:31,KW10110,DoYouEvenLif,0,0,0,"Calm, anxious, frustrated, grateful and hopefull.",,,,1.23933E+18,https://twitter.com/KW10110/status/1239333316496478208
3/15/2020 23:30,honeycakebooks,,0,0,1,"Hello my beautiful souls, With all the chaos about the #corona virus and all schools, libraries and children’s activity centres closed down. Caregivers might be dealing with children that are feeling anxious or… https://www.instagram.com/p/B9xdV83A0UH/?igshid=1gksmtf100rq9 …",,,#corona,1.23933E+18,https://twitter.com/honeycakebooks/status/1239333195134296065
3/15/2020 23:26,_ecalv,,0,0,0,"@DallasISDMedia when will announce school will be closed and exams will be delayed? Cities literally around you have announced closure yet, Dallas ISD continues to keep parents anxious.",,@DallasISDMedia,,1.23933E+18,https://twitter.com/_ecalv/status/1239332286069387265
3/15/2020 23:24,katdiggity,,0,0,0,Agreed! Feeling depressed and anxious is totally normal and everyone experiences these emotions. However having depression and/or anxiety is a completely different thing and I think people interchange these terms way too often that they often lose their true meaning,,,,1.23933E+18,https://twitter.com/katdiggity/status/1239331588329984000
3/15/2020 23:16,Bugzyy__,,0,0,0,i really hate biting my nails like the fact that i’m anxious as it is makes it harder to stop,,,,1.23933E+18,https://twitter.com/Bugzyy__/status/1239329754991529984
3/15/2020 23:16,1greatcounselor,,0,0,0,"If you’re feeling anxious about coronavirus—you’re definitely not alone. ShineText and Mental Health America gathered accessible resources, free meditations, and more to help you navigate your mental health during these uncertain times. Visit http://bit.ly/2TMymcT for more!",,,,1.23933E+18,https://twitter.com/1greatcounselor/status/1239329537210671104
3/15/2020 23:15,meisen1007,,0,0,1,"Philippians 4:6-8 (NIV), “Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God. Finally, brothers and sisters, whatever is true, whatever is noble, whatever is right, whatever is pure, whatever is lovely",,,,1.23933E+18,https://twitter.com/meisen1007/status/1239329320729899008
3/15/2020 23:09,KiranGoraya,hodanassah,1,0,1,Don’t be anxious!,,,,1.23933E+18,https://twitter.com/KiranGoraya/status/1239327918481764352
3/15/2020 23:05,RavenousReadr,,0,0,0,In our current situation there is no wrong or right way to go about it. I am an anxious person and how I handle myself is going to be different from how anyone else may choose to go about their lives. We are all… https://www.instagram.com/p/B9xag_wg6nZ/?igshid=1abje7edvk5bq …,,,,1.23933E+18,https://twitter.com/RavenousReadr/status/1239326973182316544
7/28/2020 20:47,GamesRedDeer,,27,172,426,PLAY & Let The Fun Begin Like + RT + Click https://www.reddeergames.com Did You see it? pic.twitter.com/45a6EF3ixr,,,,1.28821E+18,https://twitter.com/GamesRedDeer/status/1288214494167158784
3/15/2020 23:05,jeremypeters,rkpineau,0,0,1,This is good advice across #academia - students are just as anxious as we are. A simple note to say that we are with them (and that more info is coming) goes a LONG way. https://twitter.com/rkpineau/status/1239294559533891585 …,,,#academia,1.23933E+18,https://twitter.com/jeremypeters/status/1239326802952192000
3/15/2020 22:58,DezellSue,,2,2,3,"Personally I have called The Ottawa Distress Centre in time of need. If you are feeling overwhelmed or anxious or maybe you just need to talk to someone to talk to during the Covid 19 Virus situation, don't hesitate to contact the Distress Centre. (613) 238-3311. 24/7",,,,1.23933E+18,https://twitter.com/DezellSue/status/1239325232160178177
3/15/2020 22:58,aurora_ob,SheaSerrano,0,0,0,"Currently working as a cocktail waitress. Tips are already way down, and Los Angeles is pushing for all bars to shut down. Feeling very anxious and uncertain. pic.twitter.com/GhEau9FKkU",,,,1.23933E+18,https://twitter.com/aurora_ob/status/1239325059333812224
3/15/2020 22:56,RstingBtchFce,,1,0,3,My boyfriend is going out to dinner without me. None of my friends are taking this seriously and think quarantine is a joke. I know I’m an anxious person and usually think of the worst possible outcome but for once I’m not alone in this thinking.,,,,1.23932E+18,https://twitter.com/RstingBtchFce/status/1239324636405469187
3/15/2020 22:45,cher12661,kinsellawarren,0,0,0,My grandson is as well. I'm trying not to show how anxious I am.,,,,1.23932E+18,https://twitter.com/cher12661/status/1239321896749019140
3/15/2020 22:42,chevboo,,0,0,0,Dear patience by @NiallOfficial is what the world needs to listen to if your anxious about the virus or anything,,@NiallOfficial,,1.23932E+18,https://twitter.com/chevboo/status/1239321036342075392
3/15/2020 22:39,soxbearpayton,,1,0,0,But because there is now a case in Dupage County they have announced that absolutely no students should come to campus till next month. YES THANK YOU I WAS SO SCARED TO GO TOMORROW. I had a test I couldn’t even study I was so anxious.,,,,1.23932E+18,https://twitter.com/soxbearpayton/status/1239320282743144449
3/15/2020 22:38,tylerjmccall,,1,0,4,There has been a change in tone and energy on the news. Even from yesterday to today. The anchors and guests are anxious and scared and far more serious. You can tell.,,,,1.23932E+18,https://twitter.com/tylerjmccall/status/1239320034557788160
3/15/2020 22:35,rxnduhh,,0,0,0,I need ways to calm myself down when I’m anxious,,,,1.23932E+18,https://twitter.com/rxnduhh/status/1239319292329549825
3/15/2020 22:33,EricJGrimm,,1,0,27,I can’t be on social media too much because it makes me sad and anxious but I just want to give you all some good news in the midst of all of this: My stepdaddy’s not in prison anymore.,,,,1.23932E+18,https://twitter.com/EricJGrimm/status/1239318798945202177
3/15/2020 22:29,iamgingerman,,2,0,8,"Yo friends. If you’re a little anxious right now, like me, and want to have a serious conversation about what is happening in this world let me know.",,,,1.23932E+18,https://twitter.com/iamgingerman/status/1239317919768576000
3/15/2020 22:25,ChrisDurso,,0,1,12,"We believe in a God who is greater than any circumstance or situation. Join us in prayer for our families, our community, our city and our world. Philippians 4 verses 6 and 7 reminds us not to be anxious about… https://www.instagram.com/p/B9uVkRInM4u/?igshid=l6jr6upcqmqj …",,,,1.23932E+18,https://twitter.com/ChrisDurso/status/1239316936917430273
3/15/2020 22:19,jjmracing,Kenny_Wallace,0,0,9,I’m sure they are going to blame our president! Really ticks me off. I know Pelosi and her gangsters along with cnn are anxious to get their teeth in our great president again. Really hate that,,,,1.23932E+18,https://twitter.com/jjmracing/status/1239315252858302466
3/15/2020 22:13,melissayeagr,priscillatotiya,0,0,1,Seriously folks. I know the situation makes everyone anxious given the uncertainty right now...but be kind and give them a chance to handle the people who are currently traveling. https://twitter.com/priscillatotiya/status/1239313350477012993 …,,,,1.23931E+18,https://twitter.com/melissayeagr/status/1239313855047561216
3/15/2020 22:06,ministries_wave,,0,0,0,"“Do not be anxious about anything, but in every situation, by prayer and petition, with thanksgiving, present your requests to God.” Philippians 4:6 NIV https://www.bible.com/bible/111/php.4.6.niv …",,,,1.23931E+18,https://twitter.com/ministries_wave/status/1239312071029710848
3/15/2020 22:03,_marilynramirez,bodega_gyro_ao,0,0,1,"It was getting increasingly hard to teach. Students were anxious and only wanted to talk about the corona virus. Still, there’s so much uncertainty. We may be on lockdown for over a month",,,,1.23931E+18,https://twitter.com/_marilynramirez/status/1239311192511918081
3/15/2020 21:55,kimixorn,,0,0,0,Wow I’m so anxious to start tomorrow,,,,1.23931E+18,https://twitter.com/kimixorn/status/1239309360716808194
3/15/2020 21:54,KnittelFiddle,reddishbarnes,1,0,5,"I’m just anxious to hear it. Plus, I need some good news right now.",,,,1.23931E+18,https://twitter.com/KnittelFiddle/status/1239308969451106304
